,X1,X2,X3,X4,X5,Y
0,0.999680784,0.000785449,0.015512627,0.00333816,0.000589087,0.019636236
1,0.999938379,0.000262355,0.00682122,0.001521657,0.000524709,0.008605231
2,0.999713533,0,0.01508829,0.003200546,0.000685831,0.018288837
3,0.999289585,0.001396683,0.023890622,0.003601971,0.000220529,0.028889275
4,0.999932289,4,,,,
5,0.999814789,0.000153983,0.01278063,0.001385851,0.000153983,0.014320464
6,0.999810537,0,0.013462254,0.000579912,0.000372801,0.014042166
7,0.99993725,0,0.007143043,0.001375368,0.0001331,0.008518411
8,0.99977569,0.000346023,0.013033532,0.002998866,0.00115341,0.01637842
9,0.99996701,0,0.005503669,0.000448797,0.000236209,0.005952466
10,0.999689662,0,0.015737512,0.003219036,0.001788354,0.018956548
11,0.999635613,0,0.017527217,0.002726456,0.001947469,0.020253673
12,0.999124939,0.001020348,0.02795754,0.002040696,0.000612209,0.031018585
13,0.999783131,5,,,,
14,0.999974827,0.000203247,0.004369809,0.000914611,0.000508117,0.005487667
15,0.999737173,0.000670739,0.013414789,0.004024437,0.001006109,0.018109966
16,0.999961237,0.000134181,0.006064979,0.000178908,0.000107345,0.006378068
17,0.999921487,0.000532652,0.007190806,0.002263772,0.000399489,0.00998723
18,0.999805523,0,0.012033058,0.002831308,0.003893048,0.014864365
19,0.999784226,0.000592055,0.013025219,0.002368222,0.000592055,0.015985496
20,0.999991785,0,0,0,0.004053473,0
21,0.999992718,0,0.002334727,0.000291841,0.001459204,0.002626568
22,0.999686556,0,0.014725334,0.004908445,0.000613556,0.019633779
23,0.999946752,0.000196145,0.006472782,0.001242251,0.000653816,0.007911178
24,0.999957674,0,0.005826025,0.001191687,0.000198614,0.007017711
25,0.999820256,0.000292833,0.012064726,0.002108399,0.000322116,0.014465958
26,0.999353785,0,0.023208402,0.003945428,0.000696252,0.02715383
27,0.99999316,0.000293818,0.002334221,0.000212202,0.000179555,0.00284024
28,0.999777385,0.003513595,0.011392564,0.002342396,0.000212945,0.017248556
29,0.999855959,0.000341364,0.009216835,0.003755007,0.003413643,0.013313207
30,0.999630331,0.000208735,0.016176937,0.004905265,0.000313102,0.021290936
31,0.999543206,0.000751819,0.018419563,0.004322959,0.001691592,0.02349434
32,0.999911347,0.000279735,0.007832569,0.002377744,0.000419602,0.010490048
33,0.999428169,0.000768003,0.022016092,0.002688011,0.001408006,0.025472106
34,0.999480222,0,0.02073252,0.003671384,0.000647891,0.024403903
35,0.999990143,0.000558205,0.002651476,0.000279103,0.000348878,0.003488784
36,0.99994279,0.000332729,0.006866326,0.000937692,0.000272233,0.008136748
37,0.999924078,0.000164326,0.007230347,0.002300565,0.000492978,0.009695238
38,0.999900115,0.000289251,0.008925466,0.001611542,0.000454538,0.01082626
39,0.99995063,0.000210975,0.006575384,0.000632925,0.000105487,0.007419283
40,0.999994558,0.00050039,0.001858593,0.000214453,0.000714843,0.002573437
41,0.999914588,0.001639204,0.006790989,0.00234172,0.000702516,0.010771914
42,0.999958669,0,0.005603679,0.001311499,0.001311499,0.006915179
43,0.999975192,0.000307141,0.004376763,0.000767853,0.000230356,0.005451758
44,0.999958649,0.000130662,0.00568381,0.001175961,0.000359321,0.006990434
45,0.999940091,0.001723539,0.005170618,0.002298052,0.000574513,0.00919221
46,0.99986283,0,0.010504767,0.002046383,0.001500681,0.01255115
47,0.999981929,0.0003232,0.003878404,0.0003232,0.000646401,0.004524805
48,0.999707232,0.000316864,0.015209492,0.00285178,0.00285178,0.018378136
49,0.999939086,0.000598094,0.007102371,0.000697777,7,
50,0.999366128,0.001010709,0.022684791,0.003481329,0.001010709,0.027176829
51,0.999796379,0.00073528,0.011764473,0.003492578,0.00055146,0.01599233
52,0.999710565,0.0008962,0.014787292,0.002912648,0.002240499,0.01859614
53,0.999994617,6,,,,
54,0.999642542,0.000191045,0.015665683,0.005158213,0.001050747,0.021014941
55,0.999902351,0,0.008253424,0.002682363,0.000619007,0.010935787
56,0.999631215,0.000685932,0.017376938,0.002515083,0.002286439,0.020577953
57,0.999996861,4,,,,
58,0.999983546,0.00028621,0.003613407,0.000500868,0.000393539,0.004400486
59,0.999983678,0.000211154,0.003779659,0.0002745,0.000211154,0.004265313
